algo,n,ms
giftwrapping,250000,65493
giftwrapping,250000,75316
giftwrapping,250000,75919
giftwrapping,250000,63404
giftwrapping,250000,67506
giftwrapping,250000,60869
giftwrapping,250000,68928
giftwrapping,250000,68433
giftwrapping,250000,68493
giftwrapping,250000,77029
giftwrapping,250000,57693
giftwrapping,250000,73289
giftwrapping,250000,64570
giftwrapping,250000,60200
giftwrapping,250000,70584
giftwrapping,250000,58689
giftwrapping,250000,66132
giftwrapping,250000,57370
giftwrapping,250000,54755
giftwrapping,250000,55521
giftwrapping,250000,47094
giftwrapping,250000,52091
giftwrapping,250000,51186
giftwrapping,250000,53199
giftwrapping,250000,47927
giftwrapping,250000,53018
giftwrapping,250000,55404
giftwrapping,250000,52286
giftwrapping,250000,54922
giftwrapping,250000,47814
giftwrapping,250000,50682
giftwrapping,250000,53479
giftwrapping,250000,58589
giftwrapping,250000,67314
giftwrapping,250000,60158
giftwrapping,250000,71313
giftwrapping,250000,63671
giftwrapping,250000,61172
giftwrapping,250000,63904
giftwrapping,250000,65168
giftwrapping,250000,56608
giftwrapping,250000,66769
giftwrapping,250000,69619
giftwrapping,250000,61931
giftwrapping,250000,58805
giftwrapping,250000,67342
giftwrapping,250000,79595
giftwrapping,250000,77545
giftwrapping,250000,74557
giftwrapping,250000,70288
giftwrapping,250000,71031
giftwrapping,250000,70018
giftwrapping,250000,79823
giftwrapping,250000,70244
giftwrapping,250000,71526
giftwrapping,250000,76456
giftwrapping,250000,80448
giftwrapping,250000,65167
giftwrapping,250000,68240
giftwrapping,250000,61344
giftwrapping,250000,60385
giftwrapping,250000,64735
giftwrapping,250000,73876
giftwrapping,250000,76579
giftwrapping,250000,61227
giftwrapping,250000,64146
giftwrapping,250000,62644
giftwrapping,250000,69751
giftwrapping,250000,63587
giftwrapping,250000,65759
giftwrapping,250000,63315
giftwrapping,250000,51017
giftwrapping,250000,51810
giftwrapping,250000,60769
giftwrapping,250000,55644
giftwrapping,250000,60720
giftwrapping,250000,62521
giftwrapping,250000,58289
giftwrapping,250000,77346
giftwrapping,250000,64368
giftwrapping,250000,60803
giftwrapping,250000,62388
giftwrapping,250000,61380
giftwrapping,250000,68505
giftwrapping,250000,66007
giftwrapping,250000,72341
giftwrapping,250000,56752
giftwrapping,250000,64799
giftwrapping,250000,60290
giftwrapping,250000,54794
giftwrapping,250000,61929
giftwrapping,250000,77101
giftwrapping,250000,70447
giftwrapping,250000,61869
giftwrapping,250000,72144
giftwrapping,250000,54401
giftwrapping,250000,51938
giftwrapping,250000,55437
giftwrapping,250000,66483
giftwrapping,250000,59547
