algo,n,ms
quickhull,10000,289803
quickhull,10000,296594
quickhull,10000,290716
quickhull,10000,294644
quickhull,10000,291921
quickhull,10000,292885
quickhull,10000,299890
quickhull,10000,294970
quickhull,10000,294183
quickhull,10000,293188
quickhull,10000,293366
quickhull,10000,290510
quickhull,10000,291172
quickhull,10000,290984
quickhull,10000,291349
quickhull,10000,291926
quickhull,10000,290745
quickhull,10000,291663
quickhull,10000,291468
quickhull,10000,290603
quickhull,10000,289449
quickhull,10000,287839
quickhull,10000,287694
quickhull,10000,288015
quickhull,10000,287827
quickhull,10000,288213
quickhull,10000,288702
quickhull,10000,289390
quickhull,10000,290103
quickhull,10000,292492
quickhull,10000,291692
quickhull,10000,292008
quickhull,10000,296561
quickhull,10000,291237
quickhull,10000,295176
quickhull,10000,294059
quickhull,10000,294502
quickhull,10000,293393
quickhull,10000,291650
quickhull,10000,291790
quickhull,10000,289730
quickhull,10000,289481
quickhull,10000,289435
quickhull,10000,291236
quickhull,10000,290255
quickhull,10000,291092
quickhull,10000,293864
quickhull,10000,291909
quickhull,10000,291949
quickhull,10000,293940
quickhull,10000,293928
quickhull,10000,291711
quickhull,10000,294058
quickhull,10000,289976
quickhull,10000,289397
quickhull,10000,290822
quickhull,10000,309890
quickhull,10000,301336
quickhull,10000,294301
quickhull,10000,296130
quickhull,10000,293229
quickhull,10000,298595
quickhull,10000,300914
quickhull,10000,291252
quickhull,10000,291925
quickhull,10000,290018
quickhull,10000,290799
quickhull,10000,291156
quickhull,10000,290581
quickhull,10000,289793
quickhull,10000,294070
quickhull,10000,292648
quickhull,10000,296158
quickhull,10000,293128
quickhull,10000,289842
quickhull,10000,289651
quickhull,10000,290025
quickhull,10000,290078
quickhull,10000,289687
quickhull,10000,289713
quickhull,10000,289941
quickhull,10000,289821
quickhull,10000,290003
quickhull,10000,290818
quickhull,10000,289855
quickhull,10000,293546
quickhull,10000,293646
quickhull,10000,318857
quickhull,10000,309514
quickhull,10000,299883
quickhull,10000,293328
quickhull,10000,295032
quickhull,10000,295741
quickhull,10000,306013
quickhull,10000,304917
quickhull,10000,312713
quickhull,10000,294612
quickhull,10000,310456
quickhull,10000,306663
quickhull,10000,300481
