algo,n,ms
giftwrapping,10000,792
giftwrapping,10000,1163
giftwrapping,10000,1726
giftwrapping,10000,800
giftwrapping,10000,980
giftwrapping,10000,834
giftwrapping,10000,803
giftwrapping,10000,815
giftwrapping,10000,931
giftwrapping,10000,1944
giftwrapping,10000,916
giftwrapping,10000,1709
giftwrapping,10000,1719
giftwrapping,10000,811
giftwrapping,10000,1954
giftwrapping,10000,812
giftwrapping,10000,800
giftwrapping,10000,1010
giftwrapping,10000,807
giftwrapping,10000,1856
giftwrapping,10000,1795
giftwrapping,10000,1725
giftwrapping,10000,808
giftwrapping,10000,1740
giftwrapping,10000,805
giftwrapping,10000,1594
giftwrapping,10000,1960
giftwrapping,10000,1725
giftwrapping,10000,983
giftwrapping,10000,804
giftwrapping,10000,1725
giftwrapping,10000,804
giftwrapping,10000,803
giftwrapping,10000,802
giftwrapping,10000,1540
giftwrapping,10000,818
giftwrapping,10000,1261
giftwrapping,10000,923
giftwrapping,10000,1138
giftwrapping,10000,1761
giftwrapping,10000,804
giftwrapping,10000,1942
giftwrapping,10000,1917
giftwrapping,10000,1750
giftwrapping,10000,1755
giftwrapping,10000,1318
giftwrapping,10000,811
giftwrapping,10000,1759
giftwrapping,10000,1129
giftwrapping,10000,806
giftwrapping,10000,1722
giftwrapping,10000,1419
giftwrapping,10000,1944
giftwrapping,10000,802
giftwrapping,10000,1031
giftwrapping,10000,1927
giftwrapping,10000,1719
giftwrapping,10000,914
giftwrapping,10000,801
giftwrapping,10000,1724
giftwrapping,10000,1850
giftwrapping,10000,810
giftwrapping,10000,1883
giftwrapping,10000,1925
giftwrapping,10000,862
giftwrapping,10000,1731
giftwrapping,10000,805
giftwrapping,10000,1878
giftwrapping,10000,925
giftwrapping,10000,1739
giftwrapping,10000,896
giftwrapping,10000,1929
giftwrapping,10000,798
giftwrapping,10000,1734
giftwrapping,10000,931
giftwrapping,10000,1927
giftwrapping,10000,1784
giftwrapping,10000,1020
giftwrapping,10000,1728
giftwrapping,10000,804
giftwrapping,10000,918
giftwrapping,10000,1871
giftwrapping,10000,1728
giftwrapping,10000,841
giftwrapping,10000,1001
giftwrapping,10000,1919
giftwrapping,10000,943
giftwrapping,10000,2009
giftwrapping,10000,1875
giftwrapping,10000,1730
giftwrapping,10000,1012
giftwrapping,10000,1909
giftwrapping,10000,1732
giftwrapping,10000,1818
giftwrapping,10000,1717
giftwrapping,10000,1013
giftwrapping,10000,1098
giftwrapping,10000,1915
giftwrapping,10000,942
giftwrapping,10000,1715
