algo,n,ms
quickhull,10000000,112377
quickhull,10000000,113964
quickhull,10000000,110718
quickhull,10000000,110653
quickhull,10000000,111260
quickhull,10000000,111563
quickhull,10000000,111639
quickhull,10000000,110206
quickhull,10000000,110829
quickhull,10000000,111991
quickhull,10000000,114754
quickhull,10000000,114335
quickhull,10000000,111785
quickhull,10000000,111162
quickhull,10000000,111078
quickhull,10000000,115400
quickhull,10000000,121221
quickhull,10000000,112807
quickhull,10000000,115670
quickhull,10000000,112953
quickhull,10000000,111459
quickhull,10000000,115940
quickhull,10000000,112289
quickhull,10000000,111540
quickhull,10000000,116761
quickhull,10000000,111135
quickhull,10000000,112238
quickhull,10000000,110652
quickhull,10000000,110505
quickhull,10000000,110980
quickhull,10000000,113697
quickhull,10000000,111098
quickhull,10000000,111342
quickhull,10000000,111214
quickhull,10000000,111097
quickhull,10000000,111120
quickhull,10000000,111468
quickhull,10000000,112522
quickhull,10000000,113038
quickhull,10000000,112110
quickhull,10000000,112493
quickhull,10000000,110389
quickhull,10000000,111458
quickhull,10000000,113076
quickhull,10000000,113075
quickhull,10000000,110622
quickhull,10000000,110343
quickhull,10000000,110061
quickhull,10000000,110555
quickhull,10000000,112452
quickhull,10000000,113699
quickhull,10000000,112080
quickhull,10000000,111089
quickhull,10000000,111713
quickhull,10000000,110392
quickhull,10000000,110286
quickhull,10000000,111407
quickhull,10000000,111250
quickhull,10000000,112152
quickhull,10000000,110569
quickhull,10000000,110824
quickhull,10000000,111944
quickhull,10000000,110648
quickhull,10000000,114439
quickhull,10000000,116127
quickhull,10000000,113669
quickhull,10000000,114786
quickhull,10000000,114910
quickhull,10000000,111894
quickhull,10000000,110773
quickhull,10000000,110511
quickhull,10000000,111320
quickhull,10000000,110437
quickhull,10000000,111733
quickhull,10000000,112530
quickhull,10000000,110601
quickhull,10000000,111102
quickhull,10000000,111722
quickhull,10000000,111167
quickhull,10000000,110472
quickhull,10000000,111078
quickhull,10000000,115175
quickhull,10000000,111886
quickhull,10000000,111002
quickhull,10000000,111234
quickhull,10000000,110642
quickhull,10000000,110900
quickhull,10000000,110920
quickhull,10000000,114545
quickhull,10000000,111681
quickhull,10000000,114405
quickhull,10000000,112619
quickhull,10000000,119864
quickhull,10000000,112065
quickhull,10000000,110480
quickhull,10000000,111591
quickhull,10000000,111969
quickhull,10000000,110607
quickhull,10000000,111481
quickhull,10000000,110979
