algo,n,ms
giftwrapping,1000000,213592
giftwrapping,1000000,195563
giftwrapping,1000000,208033
giftwrapping,1000000,200469
giftwrapping,1000000,194153
giftwrapping,1000000,194779
giftwrapping,1000000,213183
giftwrapping,1000000,222720
giftwrapping,1000000,239667
giftwrapping,1000000,229303
giftwrapping,1000000,140716
giftwrapping,1000000,154036
giftwrapping,1000000,180237
giftwrapping,1000000,146224
giftwrapping,1000000,148983
giftwrapping,1000000,169671
giftwrapping,1000000,167608
giftwrapping,1000000,148675
giftwrapping,1000000,175727
giftwrapping,1000000,151200
giftwrapping,1000000,207733
giftwrapping,1000000,201528
giftwrapping,1000000,204700
giftwrapping,1000000,222452
giftwrapping,1000000,221158
giftwrapping,1000000,209471
giftwrapping,1000000,217996
giftwrapping,1000000,197088
giftwrapping,1000000,197990
giftwrapping,1000000,190800
giftwrapping,1000000,194264
giftwrapping,1000000,140995
giftwrapping,1000000,169394
giftwrapping,1000000,149372
giftwrapping,1000000,141559
giftwrapping,1000000,144814
giftwrapping,1000000,201554
giftwrapping,1000000,222181
giftwrapping,1000000,213411
giftwrapping,1000000,239236
giftwrapping,1000000,267438
giftwrapping,1000000,266211
giftwrapping,1000000,261624
giftwrapping,1000000,226408
giftwrapping,1000000,224921
giftwrapping,1000000,224692
giftwrapping,1000000,229096
giftwrapping,1000000,201669
giftwrapping,1000000,203855
giftwrapping,1000000,214673
giftwrapping,1000000,216267
giftwrapping,1000000,248861
giftwrapping,1000000,248598
giftwrapping,1000000,239930
giftwrapping,1000000,215913
giftwrapping,1000000,218331
giftwrapping,1000000,221355
giftwrapping,1000000,213030
giftwrapping,1000000,194897
giftwrapping,1000000,201610
giftwrapping,1000000,204961
giftwrapping,1000000,204731
giftwrapping,1000000,266744
giftwrapping,1000000,244092
giftwrapping,1000000,230746
giftwrapping,1000000,172645
giftwrapping,1000000,179547
giftwrapping,1000000,179858
giftwrapping,1000000,172714
giftwrapping,1000000,275148
giftwrapping,1000000,263649
giftwrapping,1000000,257889
giftwrapping,1000000,155776
giftwrapping,1000000,156278
giftwrapping,1000000,171263
giftwrapping,1000000,156564
giftwrapping,1000000,169997
giftwrapping,1000000,270458
giftwrapping,1000000,260219
giftwrapping,1000000,255315
giftwrapping,1000000,205968
giftwrapping,1000000,207696
giftwrapping,1000000,192782
giftwrapping,1000000,219018
giftwrapping,1000000,263542
giftwrapping,1000000,273481
giftwrapping,1000000,264418
giftwrapping,1000000,249123
giftwrapping,1000000,247050
giftwrapping,1000000,258525
giftwrapping,1000000,259435
giftwrapping,1000000,191521
giftwrapping,1000000,186406
giftwrapping,1000000,188992
giftwrapping,1000000,201329
giftwrapping,1000000,217434
giftwrapping,1000000,226483
giftwrapping,1000000,217739
giftwrapping,1000000,161678
giftwrapping,1000000,177417
