algo,n,ms
quickhull,250000,24741
quickhull,250000,24173
quickhull,250000,24100
quickhull,250000,24213
quickhull,250000,22803
quickhull,250000,22622
quickhull,250000,22702
quickhull,250000,23916
quickhull,250000,22712
quickhull,250000,22641
quickhull,250000,23840
quickhull,250000,23156
quickhull,250000,22668
quickhull,250000,22765
quickhull,250000,23689
quickhull,250000,22780
quickhull,250000,22640
quickhull,250000,22693
quickhull,250000,22636
quickhull,250000,22794
quickhull,250000,23024
quickhull,250000,23010
quickhull,250000,22731
quickhull,250000,22758
quickhull,250000,22649
quickhull,250000,22733
quickhull,250000,22746
quickhull,250000,23118
quickhull,250000,22553
quickhull,250000,23557
quickhull,250000,22619
quickhull,250000,24155
quickhull,250000,24008
quickhull,250000,23960
quickhull,250000,24195
quickhull,250000,23948
quickhull,250000,24096
quickhull,250000,24566
quickhull,250000,23944
quickhull,250000,24117
quickhull,250000,24717
quickhull,250000,23838
quickhull,250000,23776
quickhull,250000,24310
quickhull,250000,24584
quickhull,250000,24475
quickhull,250000,24561
quickhull,250000,24373
quickhull,250000,24249
quickhull,250000,24495
quickhull,250000,24659
quickhull,250000,24435
quickhull,250000,24202
quickhull,250000,24786
quickhull,250000,24304
quickhull,250000,24449
quickhull,250000,24149
quickhull,250000,24738
quickhull,250000,22638
quickhull,250000,22442
quickhull,250000,22152
quickhull,250000,22095
quickhull,250000,22234
quickhull,250000,22556
quickhull,250000,21703
quickhull,250000,22514
quickhull,250000,22918
quickhull,250000,22693
quickhull,250000,21848
quickhull,250000,22435
quickhull,250000,21951
quickhull,250000,22273
quickhull,250000,21666
quickhull,250000,22398
quickhull,250000,21870
quickhull,250000,22087
quickhull,250000,22646
quickhull,250000,22602
quickhull,250000,22416
quickhull,250000,22039
quickhull,250000,22332
quickhull,250000,22174
quickhull,250000,22010
quickhull,250000,21968
quickhull,250000,22511
quickhull,250000,22086
quickhull,250000,23470
quickhull,250000,23531
quickhull,250000,23990
quickhull,250000,23480
quickhull,250000,23071
quickhull,250000,23406
quickhull,250000,23698
quickhull,250000,22873
quickhull,250000,23511
quickhull,250000,23466
quickhull,250000,23025
quickhull,250000,22980
quickhull,250000,23066
quickhull,250000,23355
